method,train_config,attack,class,family,accuracy,average_precision,auc
SBI,real_only,clean,Stable Diffusion Attend and Excite,DM_OPEN,0.7926,0.1685,0.7784
SBI,real_only,clean,Stable Diffusion XL,DM_OPEN,0.7865,0.1240,0.6852
SBI,real_only,clean,Starry AI,DM_CLOSED,0.7758,0.0971,0.6376
SBI,real_only,clean,StyleGAN,GANS,0.7609,0.0437,0.2531
SBI,real_only,clean,StyleGAN2,GANS,0.7591,0.0375,0.0937
SBI,real_only,clean,StyleGAN3,GANS,0.7591,0.0397,0.1709
SBI,real_only,clean,Tencent Hunyuan,DM_CLOSED,0.8005,0.2419,0.8271
SBI,real_only,clean,MEAN_GANS,GANS,0.8423,0.9295,0.8680
SBI,real_only,clean,MEAN_DM_OPEN,DM_OPEN,0.6909,0.4058,0.7040
SBI,real_only,clean,MEAN_DM_CLOSED,DM_CLOSED,0.6722,0.5869,0.7258
SBI,real_only,clean,MEAN_ALL,ALL,0.7463,0.9325,0.8255
SBI,real_only,jpeg_q90,MEAN_ALL,ALL,0.7494,0.9315,0.8257
SBI,real_only,jpeg_q80,MEAN_ALL,ALL,0.7478,0.9321,0.8260
SBI,real_only,jpeg_q70,MEAN_ALL,ALL,0.7512,0.9365,0.8372
SBI,real_only,jpeg_q60,MEAN_ALL,ALL,0.7608,0.9469,0.8586
SBI,real_only,jpeg_q50,MEAN_ALL,ALL,0.7554,0.9469,0.8588
SBI,real_only,jpeg_q40,MEAN_ALL,ALL,0.7450,0.9416,0.8445
SBI,real_only,jpeg_q30,MEAN_ALL,ALL,0.7380,0.9440,0.8498
SBI,real_only,jpeg_q20,MEAN_ALL,ALL,0.7249,0.9456,0.8532
SBI,real_only,blur_s1.0,MEAN_ALL,ALL,0.7161,0.8988,0.7872
SBI,real_only,blur_s2.0,MEAN_ALL,ALL,0.5780,0.7759,0.5997
SBI,real_only,rot_30,MEAN_ALL,ALL,0.7048,0.7755,0.5739
SBI,real_only,rot_180,MEAN_ALL,ALL,0.7279,0.8620,0.7146
SBI,real_only,gnoise_s0.05,MEAN_ALL,ALL,0.5989,0.8804,0.7464
SBI,real_only,sp_0.02,MEAN_ALL,ALL,0.4850,0.7791,0.5650
SBI,real_only,resize_0.5,MEAN_ALL,ALL,0.7073,0.8844,0.7711
SBI,real_only,hflip,MEAN_ALL,ALL,0.7463,0.9302,0.8203
